publisher,total_installs,game_count,games
"execl marocco",3313438,1,"8 Ball Kick"
"GOODROID,Inc.",2752920,1,"Bus Rush Fever!"
"Oakever Games",2164282,1,"Paint by Number: Coloring Game"
"Giraffee App",1580642,1,"Color Power Pop"
"Scopely, Inc.",1330884,1,"MONOPOLY GO!Chat"
"Gimica GmbH",1018218,9,"Color Dots Connect | Threadform | Spiral Drop: Helix Run | Word Kitchen | Match3D: Carnival Crew | Tripeaks Adventure | Hex Match: Block Puzzle | Tangram Heaven | Mahjong Master Path to Harmony"
"HONG KONG XINGXI",987416,2,"Arrow Maze-Tap Away | Word Solitaire Puzzle Game"
"Amobear VN Game Global",955986,1,"Animal Collection!"
"Gotstar Studio",866616,1,"Sprunki All Phases Beat Maker"
"lannt.xe91",751907,2,"Jump Brainzot: Grab To Collect | Grow Beanstalk: Brainzot Climb"
"TopNotch Games",741104,1,"Arrows - Escape Frenzy"
"IEC Holding L.L.C-FZ",710505,1,"Chaos Drink Sort"
"QY Studio",701937,1,"Pull Pin Save-Relaxing Puzzle"
"Move Tech May",552261,1,"Stripebreak"
"Devsisters",548933,1,"CookieRun: OvenSmash"
"Astrocade",505107,1,"Astrocade: Play & Create Games"
"Nikhil Sen-Gupta",497368,10,"Crystal Sling | BA99Punch Dash | Puppy Hop | Bounce Shooter | BubbleSpin | Market Empire | TwinFlip | Black Hole Dash | BA99Bullet Bounce | Number Merge"
"stick hunter",470301,1,"Snake Out: Puzzle Escape"
"Lion Studios Plus",441399,2,"Bubble Word Jam | Profile Perfect"
"RABAT SQUARE RENT CAR",431656,2,"Golden Egg Boom | Snakes Ladders - Chick Ruch"
"AS_ZR",398637,1,"Farm Block Dash"
"WinPlus Games",387561,1,"Tile Moment"
"ModayMn.official",365595,1,"KonKan"
"Ares Interactive",338302,1,"Baseball Hits 26"
"Cedar Games Studio",334501,1,"Word Sort Fun!"
"Art Coloring Group",289550,7,"Tribal Art Coloring Book | Jinx Color\uff1aColor by Number | Polygon Color | Polygon  Color | Blossom Color By Number | Fluid Color Paint By Number | Cradle Jigsaw Puzzles Games"
"\u806a \u9a6c",286751,1,"Rap Star:Idle Clicker"
"Heartsnet",277869,1,"Tidy X"
"Lijin Beauty",274782,1,"Gem Romance"
"MB. PROMISE  OIL AND GAS  SERVICES",273628,8,"333OKHoliday Mix | MoonCycle Chess | 333OKSandMind | CV999SingleStroke | Ragdoll | Dice Merge | CV999Shape Clash | 333OKHex Slide"
"UNICO STUDIO",269472,1,"Math Solitaire"
"BIGJOYSTUDIO",260038,3,"Fruit Sort Puzzle | Flower Match Queen | Brain Pocket - Puzzle Games"
"SayGames LTD",255514,1,"Cozy Ropes: Connect the Dots"
"Unity Productions Foundation",255193,1,"Vanished Puzzle Quest"
"T.Game Studio",228051,1,"Brainzot Jump To Steal"
"LoadComplete",226352,2,"Mini Tales | Mini Tales: GO!"
"GEF Research",225911,1,"Bottle Tap"
"GAMERS ISLAND LLC",222249,1,"Solitaire Time - Card Game"
"Happy Go Game",218616,1,"Paper Doll DIY Dress Up"
"Adaric Ltd",218353,2,"Hexa Smash | Color Block Puzzle Journey"
"minny",210525,1,"Chamber Dice"
"Gryphon Games UG",193442,1,"Sport Star - Team Manager Idle"
"smak apps",186781,1,"ForeHeads: Charades Guess Game"
